City,Country,Mobility_Retail_Feb,Mobility_Transit_Feb,Mobility_Workplace_Feb,Mobility_Residential_Feb,Mobility_Retail_Mar,Mobility_Transit_Mar,Mobility_Workplace_Mar,Mobility_Residential_Mar,Mobility_Retail_April,Mobility_Transit_April,Mobility_Workplace_April,Mobility_Residential_April,Response_Feb,Response_March,Response_April,
Wuhan,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,81,57,
Beijing,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,81,57,
Shanghai,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,81,57,
Lombardy (Region),Italy,2,8,-2,-1,-91,-83,-57,22,-83,-82,-67,34,19,85,94,
Catalonia (County),Spain,2,8,0,-1,-87,-68,-48,16,-87,-80,-70,33,11,67,85,
Manila,Philippines,8,5,5,0,-54,-58,-16,15,-82,-91,-80,40,25,75,100,
Madrid,Spain,-1,7,-1,-2,-89,-77,-53,19,-91,-84,-77,36,11,67,85,
Brussels,Belgium,11,18,1,-1,-70,-44,-37,9,-82,-77,-73,29,11,51,81,
Ho Chi Minh City,Vietnam,-16,-12,1,8,-30,-25,-7,10,-61,-59,-27,18,47,47,87,
Hong Kong,Hong Kong,-26,-34,-18,14,-18,-23,-14,9,-18,-23,-14,9,53,45,67,
Singapore,Singapore,-14,-17,-4,8,-14,-18,-3,6,-60,-66,-66,42,25,36,85,
Ulaanbaatar,Mongolia,-6,-4,-1,3,-46,-37,-23,9,-18,-13,-7,8,49,57,66,
Ile-de-France region (inc. Paris),France,-12,4,-8,-1,-53,-24,-17,5,-84,-80,-78,36,14,48,91,
Dublin (County),Ireland,-10,-9,-4,2,-40,-39,-18,9,-75,-78,-75,34,6,48,91,
Al Ahmadi,Kuwait,2,8,5,1,-35,-17,-22,13,-62,-41,-52,31,6,74,94,
La Paz,Bolivia,7,1,12,0,-29,-23,-6,7,-86,-75,-76,37,0,44,96,
Istanbul,Turkey,0,-3,6,1,-32,-26,-3,5,-72,-68,-57,29,19,23,76,
Lima (Region),Peru,12,11,0,-1,-17,-27,-3,4,-67,-81,-57,30,0,74,94,
Stockholm (County),Sweden,3,5,-1,1,-28,-32,-12,5,-25,-43,-41,15,0,17,46,
Riyadh (Province),Saudi Arabia,-1,-4,2,1,-12,-35,-8,6,-80,-89,-74,36,11,53,92,
Greater London,United Kingdom,-11,-10,-3,2,-24,-24,-7,4,-79,-78,-77,34,11,11,76,
Qatar,Qatar,-3,1,5,1,-17,-23,-5,9,-55,-58,-39,26,14,42,86,
New York (County),United States,2,-1,0,0,-46,-42,-17,7,-85,-80,-77,32,6,41,73,
Los Angeles (County),United States,1,-1,-1,0,-16,-21,-9,6,-47,-50,-51,24,6,41,73,
Tokyo,Japan,-2,1,4,1,-10,-24,-3,4,-49,-53,-45,23,19,41,45,
Maharashtra (inc. Mumbai),India,-3,3,2,0,-17,-11,1,4,-82,-75,-74,35,10,39,100,
Delhi,India,1,6,4,0,-15,-15,1,3,-87,-84,-81,34,10,39,100,
