City,Country,Order
Wuhan,China,1
Beijing,China,1
Shanghai,China,1
Tokyo,Japan,2
New York,United States,3
Los Angeles,United States,3
Hong Kong,Hong Kong,4
Singapore,Singapore,5
Ho Chi Minh City,Vietnam,6
Paris,France,7
Mumbai,India,8
Delhi,India,8
Milan,Italy,9
Manila,Philippines,10
Barcelona,Spain,11
Madrid,Spain,11
London,United Kingdom,12
Stockholm,Sweden,13
Brussels,Belgium,14
Kuwait City,Kuwait,15
Dublin,Ireland,16
Doha,Qatar,17
Riyadh,Saudi Arabia,18
Lima,Peru,19
La Paz,Bolivia,20
Ulaanbaatar,Mongolia,21
Istanbul,Turkey,22
