City,Country,Date,Stringency,RetailandRecreation,GroceryandPharmacy,Parks,TransandStations,Workplaces,Residential
Tokyo,Japan,01/01/2020,0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,02/01/2020,0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,03/01/2020,0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,04/01/2020,0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,05/01/2020,0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,06/01/2020,0,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,07/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,08/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,09/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,10/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,11/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,12/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,13/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,14/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,15/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,16/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,17/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,18/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,19/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,20/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,21/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,22/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,23/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,24/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,25/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,26/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,27/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,28/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,29/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,30/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,31/01/2020,3,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,01/02/2020,8,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,02/02/2020,8,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,03/02/2020,8,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,04/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,05/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,06/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,07/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,08/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,09/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,10/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,11/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,12/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,13/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,14/02/2020,19,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,Japan,15/02/2020,19,-2.0,5.0,9.0,1.0,4.0,1.0
Tokyo,Japan,16/02/2020,19,-13.0,-9.0,-37.0,-9.0,-1.0,3.0
Tokyo,Japan,17/02/2020,19,-4.0,3.0,-2.0,-1.0,1.0,0.0
Tokyo,Japan,18/02/2020,19,-2.0,3.0,3.0,-3.0,0.0,1.0
Tokyo,Japan,19/02/2020,19,-4.0,2.0,8.0,-5.0,-1.0,1.0
Tokyo,Japan,20/02/2020,25,-4.0,2.0,-1.0,-5.0,-1.0,1.0
Tokyo,Japan,21/02/2020,25,-4.0,2.0,0.0,-5.0,-2.0,2.0
Tokyo,Japan,22/02/2020,25,-9.0,0.0,-7.0,-5.0,-1.0,2.0
Tokyo,Japan,23/02/2020,25,-3.0,3.0,14.0,-5.0,-1.0,0.0
Tokyo,Japan,24/02/2020,25,-5.0,-1.0,31.0,-40.0,-66.0,19.0
Tokyo,Japan,25/02/2020,34,-6.0,5.0,-5.0,-5.0,-1.0,1.0
Tokyo,Japan,26/02/2020,34,-11.0,1.0,-15.0,-8.0,-1.0,2.0
Tokyo,Japan,27/02/2020,34,-8.0,5.0,-9.0,-10.0,-2.0,3.0
Tokyo,Japan,28/02/2020,34,-9.0,15.0,-6.0,-12.0,-1.0,4.0
Tokyo,Japan,29/02/2020,34,-13.0,11.0,-8.0,-19.0,1.0,5.0
Tokyo,Japan,01/03/2020,34,-15.0,10.0,12.0,-25.0,-1.0,4.0
Tokyo,Japan,02/03/2020,44,-21.0,-5.0,-38.0,-16.0,-5.0,6.0
Tokyo,Japan,03/03/2020,44,-8.0,10.0,11.0,-16.0,-6.0,5.0
Tokyo,Japan,04/03/2020,44,-20.0,-4.0,-26.0,-20.0,-8.0,7.0
Tokyo,Japan,05/03/2020,44,-14.0,2.0,-10.0,-18.0,-7.0,7.0
Tokyo,Japan,06/03/2020,44,-14.0,4.0,1.0,-20.0,-8.0,7.0
Tokyo,Japan,07/03/2020,44,-18.0,2.0,-16.0,-25.0,-6.0,6.0
Tokyo,Japan,08/03/2020,44,-26.0,-9.0,-54.0,-34.0,-8.0,7.0
Tokyo,Japan,09/03/2020,41,-13.0,4.0,6.0,-17.0,-6.0,5.0
Tokyo,Japan,10/03/2020,41,-20.0,-10.0,-36.0,-19.0,-10.0,8.0
Tokyo,Japan,11/03/2020,41,-9.0,6.0,18.0,-18.0,-8.0,5.0
Tokyo,Japan,12/03/2020,41,-10.0,4.0,9.0,-18.0,-8.0,6.0
Tokyo,Japan,13/03/2020,41,-10.0,5.0,8.0,-19.0,-8.0,7.0
Tokyo,Japan,14/03/2020,41,-29.0,-17.0,-58.0,-30.0,-11.0,9.0
Tokyo,Japan,15/03/2020,41,-10.0,10.0,16.0,-24.0,-3.0,4.0
Tokyo,Japan,16/03/2020,41,-13.0,0.0,-8.0,-16.0,-5.0,5.0
Tokyo,Japan,17/03/2020,41,-9.0,4.0,6.0,-17.0,-7.0,5.0
Tokyo,Japan,18/03/2020,41,-9.0,4.0,21.0,-15.0,-7.0,5.0
Tokyo,Japan,19/03/2020,41,-3.0,4.0,14.0,-13.0,-8.0,4.0
Tokyo,Japan,20/03/2020,41,-15.0,2.0,37.0,-44.0,-66.0,22.0
Tokyo,Japan,21/03/2020,41,-13.0,4.0,38.0,-21.0,-10.0,4.0
Tokyo,Japan,22/03/2020,41,-13.0,4.0,51.0,-21.0,-5.0,2.0
Tokyo,Japan,23/03/2020,41,-13.0,0.0,2.0,-15.0,-6.0,5.0
Tokyo,Japan,24/03/2020,41,-8.0,3.0,12.0,-16.0,-9.0,6.0
Tokyo,Japan,25/03/2020,41,-6.0,14.0,37.0,-14.0,-8.0,4.0
Tokyo,Japan,26/03/2020,41,-10.0,25.0,26.0,-17.0,-10.0,6.0
Tokyo,Japan,27/03/2020,41,-20.0,13.0,4.0,-25.0,-15.0,10.0
Tokyo,Japan,28/03/2020,41,-46.0,-6.0,-31.0,-46.0,-19.0,13.0
Tokyo,Japan,29/03/2020,41,-63.0,-32.0,-66.0,-59.0,-27.0,14.0
Tokyo,Japan,30/03/2020,41,-24.0,9.0,-14.0,-27.0,-16.0,10.0
Tokyo,Japan,31/03/2020,41,-23.0,5.0,-10.0,-27.0,-16.0,10.0
Tokyo,Japan,01/04/2020,41,-38.0,-13.0,-44.0,-31.0,-20.0,13.0
Tokyo,Japan,02/04/2020,41,-28.0,7.0,-2.0,-32.0,-21.0,12.0
Tokyo,Japan,03/04/2020,44,-30.0,9.0,4.0,-33.0,-22.0,14.0
Tokyo,Japan,04/04/2020,44,-42.0,5.0,4.0,-48.0,-25.0,13.0
Tokyo,Japan,05/04/2020,44,-50.0,-4.0,-30.0,-58.0,-27.0,12.0
Tokyo,Japan,06/04/2020,44,-29.0,12.0,3.0,-32.0,-22.0,12.0
Tokyo,Japan,07/04/2020,45,-32.0,4.0,-3.0,-38.0,-27.0,15.0
Tokyo,Japan,08/04/2020,45,-45.0,-1.0,4.0,-46.0,-35.0,18.0
Tokyo,Japan,09/04/2020,45,-47.0,-3.0,-6.0,-49.0,-38.0,21.0
Tokyo,Japan,10/04/2020,45,-48.0,3.0,-10.0,-51.0,-39.0,23.0
Tokyo,Japan,11/04/2020,45,-52.0,1.0,-6.0,-59.0,-37.0,17.0
Tokyo,Japan,12/04/2020,45,-59.0,-10.0,-31.0,-66.0,-38.0,15.0
Tokyo,Japan,13/04/2020,45,-65.0,-34.0,-65.0,-56.0,-43.0,25.0
Tokyo,Japan,14/04/2020,45,-47.0,7.0,-2.0,-54.0,-44.0,23.0
Tokyo,Japan,15/04/2020,45,-49.0,5.0,11.0,-53.0,-45.0,23.0
Tokyo,Japan,16/04/2020,47,-52.0,-1.0,-8.0,-56.0,-46.0,24.0
Tokyo,Japan,17/04/2020,47,-53.0,7.0,-8.0,-57.0,-46.0,26.0
Tokyo,Japan,18/04/2020,47,-72.0,-30.0,-66.0,-70.0,-44.0,22.0
Tokyo,Japan,19/04/2020,47,-54.0,2.0,12.0,-61.0,-36.0,13.0
Tokyo,Japan,20/04/2020,47,-63.0,-21.0,-58.0,-58.0,-46.0,25.0
Tokyo,Japan,21/04/2020,47,-53.0,1.0,0.0,-56.0,-47.0,24.0
Tokyo,Japan,22/04/2020,47,-57.0,-7.0,-11.0,-58.0,-48.0,25.0
Tokyo,Japan,23/04/2020,47,-56.0,-5.0,-10.0,-58.0,-48.0,25.0
Tokyo,Japan,24/04/2020,47,-57.0,-3.0,-15.0,-57.0,-46.0,27.0
Tokyo,Japan,25/04/2020,47,-59.0,-8.0,-18.0,-60.0,-39.0,18.0
Tokyo,Japan,26/04/2020,47,-61.0,-11.0,-11.0,-65.0,-39.0,15.0
Tokyo,Japan,27/04/2020,47,-59.0,-17.0,-36.0,-57.0,-46.0,25.0
