City,Country,Date,Stringency,RetailandRecreation,GroceryandPharmacy,Parks,TransandStations,Workplaces,Residential
Tokyo,Japan,01/01/2020,0,0,0,0,0,0,0
Tokyo,Japan,02/01/2020,0,0,0,0,0,0,0
Tokyo,Japan,03/01/2020,0,0,0,0,0,0,0
Tokyo,Japan,04/01/2020,0,0,0,0,0,0,0
Tokyo,Japan,05/01/2020,0,0,0,0,0,0,0
Tokyo,Japan,06/01/2020,0,0,0,0,0,0,0
Tokyo,Japan,07/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,08/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,09/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,10/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,11/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,12/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,13/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,14/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,15/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,16/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,17/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,18/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,19/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,20/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,21/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,22/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,23/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,24/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,25/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,26/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,27/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,28/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,29/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,30/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,31/01/2020,3,0,0,0,0,0,0
Tokyo,Japan,01/02/2020,8,0,0,0,0,0,0
Tokyo,Japan,02/02/2020,8,0,0,0,0,0,0
Tokyo,Japan,03/02/2020,8,0,0,0,0,0,0
Tokyo,Japan,04/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,05/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,06/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,07/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,08/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,09/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,10/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,11/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,12/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,13/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,14/02/2020,19,0,0,0,0,0,0
Tokyo,Japan,15/02/2020,19,-2,5,9,1,4,1
Tokyo,Japan,16/02/2020,19,-13,-9,-37,-9,-1,3
Tokyo,Japan,17/02/2020,19,-4,3,-2,-1,1,0
Tokyo,Japan,18/02/2020,19,-2,3,3,-3,0,1
Tokyo,Japan,19/02/2020,19,-4,2,8,-5,-1,1
Tokyo,Japan,20/02/2020,25,-4,2,-1,-5,-1,1
Tokyo,Japan,21/02/2020,25,-4,2,0,-5,-2,2
Tokyo,Japan,22/02/2020,25,-9,0,-7,-5,-1,2
Tokyo,Japan,23/02/2020,25,-3,3,14,-5,-1,0
Tokyo,Japan,24/02/2020,25,-5,-1,31,-40,-66,19
Tokyo,Japan,25/02/2020,34,-6,5,-5,-5,-1,1
Tokyo,Japan,26/02/2020,34,-11,1,-15,-8,-1,2
Tokyo,Japan,27/02/2020,34,-8,5,-9,-10,-2,3
Tokyo,Japan,28/02/2020,34,-9,15,-6,-12,-1,4
Tokyo,Japan,29/02/2020,34,-13,11,-8,-19,1,5
Tokyo,Japan,01/03/2020,34,-15,10,12,-25,-1,4
Tokyo,Japan,02/03/2020,44,-21,-5,-38,-16,-5,6
Tokyo,Japan,03/03/2020,44,-8,10,11,-16,-6,5
Tokyo,Japan,04/03/2020,44,-20,-4,-26,-20,-8,7
Tokyo,Japan,05/03/2020,44,-14,2,-10,-18,-7,7
Tokyo,Japan,06/03/2020,44,-14,4,1,-20,-8,7
Tokyo,Japan,07/03/2020,44,-18,2,-16,-25,-6,6
Tokyo,Japan,08/03/2020,44,-26,-9,-54,-34,-8,7
Tokyo,Japan,09/03/2020,41,-13,4,6,-17,-6,5
Tokyo,Japan,10/03/2020,41,-20,-10,-36,-19,-10,8
Tokyo,Japan,11/03/2020,41,-9,6,18,-18,-8,5
Tokyo,Japan,12/03/2020,41,-10,4,9,-18,-8,6
Tokyo,Japan,13/03/2020,41,-10,5,8,-19,-8,7
Tokyo,Japan,14/03/2020,41,-29,-17,-58,-30,-11,9
Tokyo,Japan,15/03/2020,41,-10,10,16,-24,-3,4
Tokyo,Japan,16/03/2020,41,-13,0,-8,-16,-5,5
Tokyo,Japan,17/03/2020,41,-9,4,6,-17,-7,5
Tokyo,Japan,18/03/2020,41,-9,4,21,-15,-7,5
Tokyo,Japan,19/03/2020,41,-3,4,14,-13,-8,4
Tokyo,Japan,20/03/2020,41,-15,2,37,-44,-66,22
Tokyo,Japan,21/03/2020,41,-13,4,38,-21,-10,4
Tokyo,Japan,22/03/2020,41,-13,4,51,-21,-5,2
Tokyo,Japan,23/03/2020,41,-13,0,2,-15,-6,5
Tokyo,Japan,24/03/2020,41,-8,3,12,-16,-9,6
Tokyo,Japan,25/03/2020,41,-6,14,37,-14,-8,4
Tokyo,Japan,26/03/2020,41,-10,25,26,-17,-10,6
Tokyo,Japan,27/03/2020,41,-20,13,4,-25,-15,10
Tokyo,Japan,28/03/2020,41,-46,-6,-31,-46,-19,13
Tokyo,Japan,29/03/2020,41,-63,-32,-66,-59,-27,14
Tokyo,Japan,30/03/2020,41,-24,9,-14,-27,-16,10
Tokyo,Japan,31/03/2020,41,-23,5,-10,-27,-16,10
Tokyo,Japan,01/04/2020,41,-38,-13,-44,-31,-20,13
Tokyo,Japan,02/04/2020,41,-28,7,-2,-32,-21,12
Tokyo,Japan,03/04/2020,44,-30,9,4,-33,-22,14
Tokyo,Japan,04/04/2020,44,-42,5,4,-48,-25,13
Tokyo,Japan,05/04/2020,44,-50,-4,-30,-58,-27,12
Tokyo,Japan,06/04/2020,44,-29,12,3,-32,-22,12
Tokyo,Japan,07/04/2020,45,-32,4,-3,-38,-27,15
Tokyo,Japan,08/04/2020,45,-45,-1,4,-46,-35,18
Tokyo,Japan,09/04/2020,45,-47,-3,-6,-49,-38,21
Tokyo,Japan,10/04/2020,45,-48,3,-10,-51,-39,23
Tokyo,Japan,11/04/2020,45,-52,1,-6,-59,-37,17
Tokyo,Japan,12/04/2020,45,-59,-10,-31,-66,-38,15
Tokyo,Japan,13/04/2020,45,-65,-34,-65,-56,-43,25
Tokyo,Japan,14/04/2020,45,-47,7,-2,-54,-44,23
Tokyo,Japan,15/04/2020,45,-49,5,11,-53,-45,23
Tokyo,Japan,16/04/2020,47,-52,-1,-8,-56,-46,24
Tokyo,Japan,17/04/2020,47,-53,7,-8,-57,-46,26
Tokyo,Japan,18/04/2020,47,-72,-30,-66,-70,-44,22
Tokyo,Japan,19/04/2020,47,-54,2,12,-61,-36,13
Tokyo,Japan,20/04/2020,47,-63,-21,-58,-58,-46,25
Tokyo,Japan,21/04/2020,47,-53,1,0,-56,-47,24
Tokyo,Japan,22/04/2020,47,-57,-7,-11,-58,-48,25
Tokyo,Japan,23/04/2020,47,-56,-5,-10,-58,-48,25
Tokyo,Japan,24/04/2020,47,-57,-3,-15,-57,-46,27
Tokyo,Japan,25/04/2020,47,-59,-8,-18,-60,-39,18
Tokyo,Japan,26/04/2020,47,-61,-11,-11,-65,-39,15
Tokyo,Japan,27/04/2020,47,-59,-17,-36,-57,-46,25
Tokyo,Japan,28/04/2020,47,-53,-4,-19,-56,-47,24
Tokyo,Japan,29/04/2020,47,-57,-9,13,-73,-78,32
Tokyo,Japan,30/04/2020,47,-54,-1,-4,-57,-50,26
Tokyo,Japan,01/05/2020,47,-57,-2,-6,-59,-51,28
Tokyo,Japan,02/05/2020,47,-61,-8,-14,-62,-41,19
Tokyo,Japan,03/05/2020,47,-60,-8,-8,-64,-40,15
Tokyo,Japan,04/05/2020,47,-60,-15,-19,-76,-80,36
Tokyo,Japan,05/05/2020,47,-57,-10,4,-75,-81,36
Tokyo,Japan,06/05/2020,47,-68,-27,-45,-78,-80,37
Tokyo,Japan,07/05/2020,47,-53,-1,-7,-51,-42,22
Tokyo,Japan,08/05/2020,47,-55,-2,-6,-54,-43,25
Tokyo,Japan,09/05/2020,47,-55,-6,-19,-56,-33,17
Tokyo,Japan,10/05/2020,47,-55,-7,-18,-60,-34,14
Tokyo,Japan,11/05/2020,47,-54,-6,-7,-50,-40,21
Tokyo,Japan,12/05/2020,47,-53,-4,-6,-53,-44,23
Tokyo,Japan,13/05/2020,47,-53,-5,-2,-54,-44,23
Tokyo,Japan,14/05/2020,41,-53,-5,-4,-53,-44,23
Tokyo,Japan,15/05/2020,41,-54,-1,-9,-53,-43,25
Tokyo,Japan,16/05/2020,41,-64,-26,-65,-62,-37,19
Tokyo,Japan,17/05/2020,41,-48,3,3,-56,-31,12
Tokyo,Japan,18/05/2020,41,-55,-11,-32,-51,-41,22
Tokyo,Japan,19/05/2020,41,-57,-17,-51,-55,-45,25
Tokyo,Japan,20/05/2020,41,-52,-6,-27,-52,-43,23
Tokyo,Japan,21/05/2020,41,-54,-9,-32,-53,-43,24
Tokyo,Japan,22/05/2020,41,-53,-5,-24,-52,-41,25
Tokyo,Japan,23/05/2020,41,-49,-2,-19,-52,-31,16
Tokyo,Japan,24/05/2020,41,-46,-2,7,-53,-29,12
Tokyo,Japan,25/05/2020,29,-46,-1,-3,-46,-38,20
Tokyo,Japan,26/05/2020,31,-47,-9,-21,-48,-39,21
Tokyo,Japan,27/05/2020,31,-43,-1,3,-46,-38,19
Tokyo,Japan,28/05/2020,31,-44,-7,-11,-46,-37,20
Tokyo,Japan,29/05/2020,31,-42,1,-1,-44,-35,20
Tokyo,Japan,30/05/2020,31,-38,1,-6,-43,-24,12
Tokyo,Japan,31/05/2020,31,-39,-1,-7,-47,-22,10
Delhi [New Delhi],India,01/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,02/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,03/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,04/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,05/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,06/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,07/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,08/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,09/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,10/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,11/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,12/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,13/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,14/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,15/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,16/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,17/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,18/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,19/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,20/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,21/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,22/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,23/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,24/01/2020,0,0,0,0,0,0,0
Delhi [New Delhi],India,25/01/2020,6,0,0,0,0,0,0
Delhi [New Delhi],India,26/01/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,27/01/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,28/01/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,29/01/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,30/01/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,31/01/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,01/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,02/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,03/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,04/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,05/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,06/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,07/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,08/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,09/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,10/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,11/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,12/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,13/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,14/02/2020,10,0,0,0,0,0,0
Delhi [New Delhi],India,15/02/2020,10,1,2,8,6,4,0
Delhi [New Delhi],India,16/02/2020,10,2,3,9,6,2,0
Delhi [New Delhi],India,17/02/2020,10,0,2,12,2,1,0
Delhi [New Delhi],India,18/02/2020,10,0,3,13,3,3,0
Delhi [New Delhi],India,19/02/2020,10,-1,3,10,2,3,0
Delhi [New Delhi],India,20/02/2020,10,0,2,8,4,4,0
Delhi [New Delhi],India,21/02/2020,10,-7,-5,1,-8,-14,6
Delhi [New Delhi],India,22/02/2020,10,0,-2,7,0,1,1
Delhi [New Delhi],India,23/02/2020,10,0,1,5,3,4,0
Delhi [New Delhi],India,24/02/2020,10,-1,-2,10,2,2,0
Delhi [New Delhi],India,25/02/2020,10,-5,-7,6,-2,-3,2
Delhi [New Delhi],India,26/02/2020,10,-8,-7,0,-7,-5,2
Delhi [New Delhi],India,27/02/2020,10,-5,-6,2,-5,-1,1
Delhi [New Delhi],India,28/02/2020,10,-4,-4,4,-4,0,1
Delhi [New Delhi],India,29/02/2020,10,-13,-15,-12,-5,5,2
Delhi [New Delhi],India,01/03/2020,10,-5,0,-4,-3,3,2
Delhi [New Delhi],India,02/03/2020,10,-3,-1,4,-5,0,2
Delhi [New Delhi],India,03/03/2020,10,-2,1,8,-2,4,0
Delhi [New Delhi],India,04/03/2020,16,-5,0,1,-3,3,1
Delhi [New Delhi],India,05/03/2020,27,-8,-5,-5,-4,3,1
Delhi [New Delhi],India,06/03/2020,27,-15,-14,-18,-5,0,3
Delhi [New Delhi],India,07/03/2020,27,-6,0,-5,1,6,1
Delhi [New Delhi],India,08/03/2020,27,-6,2,-8,-7,7,1
Delhi [New Delhi],India,09/03/2020,27,-2,4,-3,-20,-18,5
Delhi [New Delhi],India,10/03/2020,27,-51,-56,-34,-60,-79,24
Delhi [New Delhi],India,11/03/2020,27,-15,-9,-9,-15,-11,2
Delhi [New Delhi],India,12/03/2020,27,-10,-7,-4,-10,-2,1
Delhi [New Delhi],India,13/03/2020,33,-11,-5,-2,-12,-2,2
Delhi [New Delhi],India,14/03/2020,36,-20,-15,-15,-17,-7,4
Delhi [New Delhi],India,15/03/2020,39,-15,-6,-11,-15,1,3
Delhi [New Delhi],India,16/03/2020,48,-10,-4,2,-13,-5,2
Delhi [New Delhi],India,17/03/2020,48,-12,-2,0,-17,-8,3
Delhi [New Delhi],India,18/03/2020,50,-15,-1,-3,-20,-10,4
Delhi [New Delhi],India,19/03/2020,60,-17,0,-9,-24,-12,5
Delhi [New Delhi],India,20/03/2020,71,-27,-9,-16,-31,-19,8
Delhi [New Delhi],India,21/03/2020,76,-44,-24,-30,-40,-27,10
Delhi [New Delhi],India,22/03/2020,100,-87,-83,-77,-81,-68,21
Delhi [New Delhi],India,23/03/2020,87,-71,-52,-58,-74,-73,28
Delhi [New Delhi],India,24/03/2020,87,-80,-66,-71,-82,-82,32
Delhi [New Delhi],India,25/03/2020,100,-86,-76,-78,-87,-85,34
Delhi [New Delhi],India,26/03/2020,100,-86,-76,-78,-87,-84,35
Delhi [New Delhi],India,27/03/2020,100,-86,-77,-79,-87,-84,36
Delhi [New Delhi],India,28/03/2020,100,-86,-77,-78,-85,-80,31
Delhi [New Delhi],India,29/03/2020,100,-86,-77,-79,-84,-69,23
Delhi [New Delhi],India,30/03/2020,100,-83,-73,-75,-86,-82,34
Delhi [New Delhi],India,31/03/2020,100,-84,-74,-76,-86,-83,34
Delhi [New Delhi],India,01/04/2020,100,-85,-76,-77,-87,-83,34
Delhi [New Delhi],India,02/04/2020,100,-85,-76,-78,-88,-84,36
Delhi [New Delhi],India,03/04/2020,100,-84,-73,-76,-87,-82,35
Delhi [New Delhi],India,04/04/2020,100,-85,-75,-77,-86,-78,31
Delhi [New Delhi],India,05/04/2020,100,-86,-77,-79,-86,-67,23
