City,date,Residential,new_cases_smoothed_per_million,gr_cases,new_deaths_smoothed_per_million,stringency_index,Workplaces,population_density,gdp_per_capita,aged_65_older,cardiovasc_death_rate,life_expectancy,time,group,z_stringency_index,z_cases
Bangkok,2020-02-15,1,0.004,NA,0,0,7,135.132,16277.671,11.373,109.861,77.15,1,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-16,2,0.004,0,0,0,2,135.132,16277.671,11.373,109.861,77.15,2,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-17,1,0.006,2.941176470588235,0,0,2,135.132,16277.671,11.373,109.861,77.15,3,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-18,2,0.004,0,0,0,0,135.132,16277.671,11.373,109.861,77.15,4,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-19,1,0.004,0,0,0,0,135.132,16277.671,11.373,109.861,77.15,5,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-20,1,0.004,0,0,0,1,135.132,16277.671,11.373,109.861,77.15,6,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-21,2,0.004,0,0,0,1,135.132,16277.671,11.373,109.861,77.15,7,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-22,2,0.002,0,0,0,4,135.132,16277.671,11.373,109.861,77.15,8,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-23,2,0.002,0,0,0,2,135.132,16277.671,11.373,109.861,77.15,9,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-24,2,0,0,0,0,0,135.132,16277.671,11.373,109.861,77.15,10,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-25,2,0.004,5.714285714285714,0,0,-2,135.132,16277.671,11.373,109.861,77.15,11,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-26,2,0.01,8.108108108108109,0,0,-1,135.132,16277.671,11.373,109.861,77.15,12,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-27,2,0.01,0,0,0,-1,135.132,16277.671,11.373,109.861,77.15,13,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-28,2,0.012,2.5,0,0,-1,135.132,16277.671,11.373,109.861,77.15,14,Bangkok,-1.3194868652425589,NA
Bangkok,2020-02-29,1,0.014,2.4390243902439024,0,0,5,135.132,16277.671,11.373,109.861,77.15,15,Bangkok,-1.3194868652425589,NA
Bangkok,2020-03-01,1,0.014,0,0.002,0,3,135.132,16277.671,11.373,109.861,77.15,16,Bangkok,-1.3194868652425589,NA
Bangkok,2020-03-02,2,0.016,2.380952380952381,0.002,0,-2,135.132,16277.671,11.373,109.861,77.15,17,Bangkok,-1.3194868652425589,NA
Bangkok,2020-03-03,3,0.012,0,0.002,0,-4,135.132,16277.671,11.373,109.861,77.15,18,Bangkok,-1.3194868652425589,NA
Bangkok,2020-03-04,3,0.006,0,0.002,0,-4,135.132,16277.671,11.373,109.861,77.15,19,Bangkok,-1.3194868652425589,NA
Bangkok,2020-03-05,3,0.014,9.30232558139535,0.002,0,-4,135.132,16277.671,11.373,109.861,77.15,20,Bangkok,-1.3194868652425589,NA
Bangkok,2020-03-06,4,0.014,2.127659574468085,0.002,16.67,-6,135.132,16277.671,11.373,109.861,77.15,21,Bangkok,-0.9891915300567856,NA
Bangkok,2020-03-07,3,0.016,4.166666666666666,0.002,16.67,2,135.132,16277.671,11.373,109.861,77.15,22,Bangkok,-0.9891915300567856,NA
Bangkok,2020-03-08,2,0.016,0,0,16.67,1,135.132,16277.671,11.373,109.861,77.15,23,Bangkok,-0.9891915300567856,NA
Bangkok,2020-03-09,4,0.014,0,0,16.67,-6,135.132,16277.671,11.373,109.861,77.15,24,Bangkok,-0.9891915300567856,NA
Bangkok,2020-03-10,4,0.02,6,0,25,-7,135.132,16277.671,11.373,109.861,77.15,25,Bangkok,-0.8241429312506974,NA
Bangkok,2020-03-11,4,0.033,11.320754716981133,0,25,-7,135.132,16277.671,11.373,109.861,77.15,26,Bangkok,-0.8241429312506974,NA
Bangkok,2020-03-12,4,0.047,18.64406779661017,0,25,-7,135.132,16277.671,11.373,109.861,77.15,27,Bangkok,-0.8241429312506974,NA
Bangkok,2020-03-13,5,0.055,7.142857142857142,0,25,-7,135.132,16277.671,11.373,109.861,77.15,28,Bangkok,-0.8241429312506974,NA
Bangkok,2020-03-14,3,0.065,9.333333333333334,0,25,3,135.132,16277.671,11.373,109.861,77.15,29,Bangkok,-0.8241429312506974,NA
Bangkok,2020-03-15,4,0.131,39.02439024390244,0,26.85,-2,135.132,16277.671,11.373,109.861,77.15,30,Bangkok,-0.7874874801352996,NA
Bangkok,2020-03-16,5,0.199,28.947368421052634,0,33.8,-10,135.132,16277.671,11.373,109.861,77.15,31,Bangkok,-0.6497818664855621,NA
Bangkok,2020-03-17,6,0.254,20.408163265306122,0,39.35,-12,135.132,16277.671,11.373,109.861,77.15,32,Bangkok,-0.5398155131393687,NA
