Country,City,Date,Mobility_Retail,Mobility_Transit,Mobility_Workplace,Mobility_Residential,Response_Stringency
Italy,Milan,15/02/2020,2,8,-2,-1,19
Italy,Milan,16/02/2020,-1,2,0,-1,19
Italy,Milan,17/02/2020,-3,1,0,0,19
Italy,Milan,18/02/2020,2,4,1,0,19
Italy,Milan,19/02/2020,2,4,1,-1,19
Italy,Milan,20/02/2020,2,4,0,-1,19
Italy,Milan,21/02/2020,1,3,0,0,28
Italy,Milan,22/02/2020,-6,1,-1,0,37
Italy,Milan,23/02/2020,-19,-13,-2,2,70
Italy,Milan,24/02/2020,-18,-32,-22,9,70
Italy,Milan,25/02/2020,-22,-37,-23,11,70
Italy,Milan,26/02/2020,-23,-40,-23,11,70
Italy,Milan,27/02/2020,-19,-39,-23,10,70
Italy,Milan,28/02/2020,-16,-37,-24,10,70
Italy,Milan,29/02/2020,-24,-34,-20,8,70
Italy,Milan,01/03/2020,-33,-40,-14,7,70
Italy,Milan,02/03/2020,-26,-44,-20,11,70
Italy,Milan,03/03/2020,-13,-35,-19,9,70
Italy,Milan,04/03/2020,-14,-34,-19,8,75
Italy,Milan,05/03/2020,-22,-42,-21,11,75
Italy,Milan,06/03/2020,-20,-40,-22,11,75
Italy,Milan,07/03/2020,-25,-31,-19,7,75
Italy,Milan,08/03/2020,-48,-42,-19,8,75
Italy,Milan,09/03/2020,-42,-57,-31,16,75
Italy,Milan,10/03/2020,-50,-61,-38,20,82
Italy,Milan,11/03/2020,-57,-65,-43,22,85
Italy,Milan,12/03/2020,-74,-74,-52,28,85
Italy,Milan,13/03/2020,-78,-76,-58,31,85
Italy,Milan,14/03/2020,-86,-80,-63,26,85
Italy,Milan,15/03/2020,-91,-83,-57,22,85
Italy,Milan,16/03/2020,-78,-79,-63,30,85
Italy,Milan,17/03/2020,-80,-80,-65,32,85
Italy,Milan,18/03/2020,-82,-81,-66,33,85
Italy,Milan,19/03/2020,-82,-82,-67,34,85
Italy,Milan,20/03/2020,-82,-82,-68,36,92
Italy,Milan,21/03/2020,-88,-83,-67,27,92
Italy,Milan,22/03/2020,-95,-89,-65,24,92
Italy,Milan,23/03/2020,-84,-86,-74,35,92
Italy,Milan,24/03/2020,-84,-85,-74,36,92
Italy,Milan,25/03/2020,-86,-86,-75,37,92
Italy,Milan,26/03/2020,-86,-86,-77,39,92
Italy,Milan,27/03/2020,-86,-86,-77,40,92
Italy,Milan,28/03/2020,-89,-85,-70,28,92
Italy,Milan,29/03/2020,-95,-89,-65,24,92
Italy,Milan,30/03/2020,-85,-85,-75,36,92
Italy,Milan,31/03/2020,-92,-84,-76,37,92
Italy,Milan,01/04/2020,-92,-84,-75,37,92
Italy,Milan,02/04/2020,-92,-84,-75,38,92
Italy,Milan,03/04/2020,-88,-84,-74,39,92
Italy,Milan,04/04/2020,-91,-84,-68,28,92
Italy,Milan,05/04/2020,-96,-88,-64,24,92
Italy,Milan,06/04/2020,-86,-83,-71,34,92
Italy,Milan,07/04/2020,-85,-83,-72,35,92
Italy,Milan,08/04/2020,-85,-83,-71,35,92
Italy,Milan,09/04/2020,-84,-83,-71,35,92
Italy,Milan,10/04/2020,-84,-82,-73,38,88
Italy,Milan,11/04/2020,-89,-82,-67,27,88
Italy,Milan,12/04/2020,-97,-90,-68,25,94
Italy,Milan,13/04/2020,-96,-92,-92,43,94
Italy,Milan,14/04/2020,-83,-82,-68,34,94
Italy,Milan,15/04/2020,-83,-82,-67,34,94
Italy,Milan,16/04/2020,-82,-82,-67,34,94
Italy,Milan,17/04/2020,-83,-82,-67,36,94
Italy,Milan,18/04/2020,-88,-81,-63,27,94
Italy,Milan,19/04/2020,-95,-87,-60,23,94
Italy,Milan,20/04/2020,-82,-83,-65,32,94
Italy,Milan,21/04/2020,-82,-82,-65,33,94
Italy,Milan,22/04/2020,-82,-80,-63,32,94
Italy,Milan,23/04/2020,-81,-80,-64,33,94
Italy,Milan,24/04/2020,-81,-80,-64,34,94
Italy,Milan,25/04/2020,-92,-84,-71,28,94
Italy,Milan,26/04/2020,-94,-85,-57,23,94
Italy,Milan,27/04/2020,-78,-79,-61,30,94
Italy,Milan,28/04/2020,-80,-80,-62,30,94
Italy,Milan,29/04/2020,-80,-79,-61,31,94
Italy,Milan,30/04/2020,-77,-79,-61,31,94
Italy,Milan,01/05/2020,-93,-89,-89,45,94
Italy,Milan,02/05/2020,-83,-77,-58,25,94
Italy,Milan,03/05/2020,-92,-82,-50,22,94
Italy,Milan,04/05/2020,-64,-65,-49,21,63
Italy,Milan,05/05/2020,-65,-66,-49,23,63
Italy,Milan,06/05/2020,-66,-66,-48,23,63
Italy,Milan,07/05/2020,-64,-65,-48,23,63
Italy,Milan,08/05/2020,-65,-65,-48,24,63
Italy,Milan,09/05/2020,-67,-57,-43,17,63
Italy,Milan,10/05/2020,-76,-64,-29,14,63
Italy,Milan,11/05/2020,-68,-72,-47,23,63
Italy,Milan,12/05/2020,-61,-64,-46,22,63
Italy,Milan,13/05/2020,-67,-69,-46,23,63
Italy,Milan,14/05/2020,-61,-63,-45,21,63
Italy,Milan,15/05/2020,-64,-66,-46,24,63
Italy,Milan,16/05/2020,-65,-58,-37,17,67
Italy,Milan,17/05/2020,-70,-58,-22,13,67
Italy,Milan,18/05/2020,-42,-56,-40,17,64
Italy,Milan,19/05/2020,-46,-59,-41,19,64
Italy,Milan,20/05/2020,-41,-53,-39,17,64
Italy,Milan,21/05/2020,-40,-54,-41,17,64
Italy,Milan,22/05/2020,-41,-54,-39,18,64
Italy,Milan,23/05/2020,-43,-43,-26,11,64
Italy,Milan,24/05/2020,-43,-40,-9,7,64
Italy,Milan,25/05/2020,-37,-54,-39,15,64
Italy,Milan,26/05/2020,-36,-52,-37,15,64
Italy,Milan,27/05/2020,-36,-51,-37,15,64
Italy,Milan,28/05/2020,-36,-52,-37,15,64
Italy,Milan,29/05/2020,-36,-51,-37,16,64
Italy,Milan,30/05/2020,-35,-35,-21,8,64
Italy,Milan,31/05/2020,-37,-37,-1,6,64
Italy,Milan,01/06/2020,-16,-44,-53,14,64
Italy,Milan,02/06/2020,-35,-54,-77,22,53
Italy,Milan,03/06/2020,-37,-49,-35,14,44
Italy,Milan,04/06/2020,-42,-58,-38,17,44
Italy,Milan,05/06/2020,-28,-46,-35,12,44
Italy,Milan,06/06/2020,-30,-35,-19,6,44
Italy,Milan,07/06/2020,-46,-58,-8,9,44
Italy,Milan,08/06/2020,-32,-53,-35,13,44
Italy,Milan,09/06/2020,-27,-48,-34,12,44
Italy,Milan,10/06/2020,-29,-49,-33,13,44
Italy,Milan,11/06/2020,-25,-49,-34,13,50
Italy,Milan,12/06/2020,-24,-44,-34,11,50
Italy,Milan,13/06/2020,-29,-35,-16,5,50
Italy,Milan,14/06/2020,-27,-34,5,2,50
Spain,Barcelona,15/02/2020,2,8,0,-1,11
Spain,Barcelona,16/02/2020,-6,4,-2,-1,11
Spain,Barcelona,17/02/2020,0,4,2,0,11
Spain,Barcelona,18/02/2020,0,3,2,0,11
Spain,Barcelona,19/02/2020,0,1,2,0,11
Spain,Barcelona,20/02/2020,1,4,2,0,11
Spain,Barcelona,21/02/2020,1,4,0,-1,11
Spain,Barcelona,22/02/2020,1,13,2,-2,11
Spain,Barcelona,23/02/2020,0,12,0,-3,11
Spain,Barcelona,24/02/2020,2,-1,-14,2,11
Spain,Barcelona,25/02/2020,-3,1,1,0,11
Spain,Barcelona,26/02/2020,-4,-1,2,0,11
Spain,Barcelona,27/02/2020,-1,1,2,0,11
Spain,Barcelona,28/02/2020,0,1,2,-1,11
Spain,Barcelona,29/02/2020,-1,5,1,-2,11
Spain,Barcelona,01/03/2020,-1,5,2,-2,11
Spain,Barcelona,02/03/2020,-5,-2,1,1,11
Spain,Barcelona,03/03/2020,-2,-1,2,0,11
Spain,Barcelona,04/03/2020,-1,0,2,0,11
Spain,Barcelona,05/03/2020,-1,0,2,0,11
Spain,Barcelona,06/03/2020,-1,-2,-1,1,11
Spain,Barcelona,07/03/2020,-1,3,1,-1,11
