Country,City,Date,Mobility_Retail,Mobility_Transit,Mobility_Workplace,Mobility_Residential,Response_Stringency
China,Wuhan,2020-02-15, , , , ,75
China,Wuhan,2020-02-16, , , , ,75
China,Wuhan,2020-02-17, , , , ,75
China,Wuhan,2020-02-18, , , , ,75
China,Wuhan,2020-02-19, , , , ,75
China,Wuhan,2020-02-20, , , , ,75
China,Wuhan,2020-02-21, , , , ,75
China,Wuhan,2020-02-22, , , , ,75
China,Wuhan,2020-02-23, , , , ,75
China,Wuhan,2020-02-24, , , , ,75
China,Wuhan,2020-02-25, , , , ,81
China,Wuhan,2020-02-26, , , , ,81
China,Wuhan,2020-02-27, , , , ,81
China,Wuhan,2020-02-28, , , , ,81
China,Wuhan,2020-02-29, , , , ,81
China,Wuhan,2020-03-01, , , , ,81
China,Wuhan,2020-03-02, , , , ,81
China,Wuhan,2020-03-03, , , , ,81
China,Wuhan,2020-03-04, , , , ,81
China,Wuhan,2020-03-05, , , , ,81
China,Wuhan,2020-03-06, , , , ,81
China,Wuhan,2020-03-07, , , , ,81
China,Wuhan,2020-03-08, , , , ,81
China,Wuhan,2020-03-09, , , , ,81
China,Wuhan,2020-03-10, , , , ,81
China,Wuhan,2020-03-11, , , , ,81
China,Wuhan,2020-03-12, , , , ,81
China,Wuhan,2020-03-13, , , , ,81
China,Wuhan,2020-03-14, , , , ,81
China,Wuhan,2020-03-15, , , , ,81
China,Wuhan,2020-03-16, , , , ,79
China,Wuhan,2020-03-17, , , , ,79
China,Wuhan,2020-03-18, , , , ,79
China,Wuhan,2020-03-19, , , , ,79
China,Wuhan,2020-03-20, , , , ,79
China,Wuhan,2020-03-21, , , , ,79
China,Wuhan,2020-03-22, , , , ,79
China,Wuhan,2020-03-23, , , , ,79
China,Wuhan,2020-03-24, , , , ,79
China,Wuhan,2020-03-25, , , , ,79
China,Wuhan,2020-03-26, , , , ,82
China,Wuhan,2020-03-27, , , , ,82
China,Wuhan,2020-03-28, , , , ,74
China,Wuhan,2020-03-29, , , , ,74
China,Wuhan,2020-03-30, , , , ,74
China,Wuhan,2020-03-31, , , , ,74
China,Wuhan,2020-04-01, , , , ,74
China,Wuhan,2020-04-02, , , , ,74
China,Wuhan,2020-04-03, , , , ,70
China,Wuhan,2020-04-04, , , , ,70
China,Wuhan,2020-04-05, , , , ,70
China,Wuhan,2020-04-06, , , , ,70
China,Wuhan,2020-04-07, , , , ,70
China,Wuhan,2020-04-08, , , , ,57
China,Wuhan,2020-04-09, , , , ,57
China,Wuhan,2020-04-10, , , , ,57
China,Wuhan,2020-04-11, , , , ,57
China,Wuhan,2020-04-12, , , , ,57
China,Wuhan,2020-04-13, , , , ,57
China,Wuhan,2020-04-14, , , , ,57
China,Wuhan,2020-04-15, , , , ,57
China,Wuhan,2020-04-16, , , , ,57
China,Wuhan,2020-04-17, , , , ,57
China,Wuhan,2020-04-18, , , , ,57
China,Wuhan,2020-04-19, , , , ,57
China,Wuhan,2020-04-20, , , , ,57
China,Wuhan,2020-04-21, , , , ,57
China,Wuhan,2020-04-22, , , , ,57
China,Wuhan,2020-04-23, , , , ,57
China,Wuhan,2020-04-24, , , , ,57
China,Wuhan,2020-04-25, , , , ,57
China,Wuhan,2020-04-26, , , , ,57
China,Wuhan,2020-04-27, , , , ,57
China,Wuhan,2020-04-28, , , , ,57
China,Wuhan,2020-04-29, , , , ,57
China,Wuhan,2020-04-30, , , , ,57
China,Wuhan,2020-05-01, , , , ,57
China,Wuhan,2020-05-02, , , , ,57
China,Wuhan,2020-05-03, , , , ,57
China,Wuhan,2020-05-04, , , , ,57
China,Wuhan,2020-05-05, , , , ,57
China,Wuhan,2020-05-06, , , , ,57
China,Wuhan,2020-05-07, , , , ,57
China,Wuhan,2020-05-08, , , , ,57
China,Wuhan,2020-05-09, , , , ,57
China,Wuhan,2020-05-10, , , , ,82
China,Wuhan,2020-05-11, , , , ,82
China,Wuhan,2020-05-12, , , , ,82
China,Wuhan,2020-05-13, , , , ,82
China,Wuhan,2020-05-14, , , , ,82
China,Wuhan,2020-05-15, , , , ,82
China,Wuhan,2020-05-16, , , , ,82
China,Wuhan,2020-05-17, , , , ,82
China,Wuhan,2020-05-18, , , , ,82
China,Wuhan,2020-05-19, , , , ,82
China,Wuhan,2020-05-20, , , , ,82
China,Wuhan,2020-05-21, , , , ,82
China,Wuhan,2020-05-22, , , , ,82
China,Wuhan,2020-05-23, , , , ,82
China,Wuhan,2020-05-24, , , , ,82
China,Wuhan,2020-05-25, , , , ,82
China,Wuhan,2020-05-26, , , , ,82
China,Wuhan,2020-05-27, , , , ,82
China,Wuhan,2020-05-28, , , , ,82
China,Wuhan,2020-05-29, , , , ,82
China,Wuhan,2020-05-30, , , , ,82
China,Wuhan,2020-05-31, , , , ,82
China,Wuhan,2020-06-01, , , , ,82
China,Wuhan,2020-06-02, , , , ,82
China,Wuhan,2020-06-03, , , , ,78
China,Wuhan,2020-06-04, , , , ,78
China,Wuhan,2020-06-05, , , , ,78
China,Wuhan,2020-06-06, , , , ,78
China,Wuhan,2020-06-07, , , , ,78
China,Wuhan,2020-06-08, , , , ,78
