City,Country,Population,first case rank,city_nma
Wuhan,China,8364.98,0,Wuhan
Shanghai,China,27058.48,1,Shanghai
Beijing,China,20462.61,1,Beijing
Bangkok,Thailand,10539.42,2,Bangkok
Tokyo,Japan,37393.13,3,Tokyo
Osaka [Kyoto],Japan,19165.34,3,Osaka
New York,United States of America,18803.55,4,New York
Los Angeles,United States of America,12446.6,4,Los Angeles
Seoul,Republic of Korea,9963.45,4,Seoul
Hong Kong,Hong Kong,7547.65,5,Hong Kong
Singapore,Singapore,5935.05,6,Singapore
Ho Chi Minh City,Vietnam,8602.32,6,Ho Chi Minh City
Paris,France,12537.95,7,Paris
Melbourne,Australia,4967.73,8,Melbourne
Toronto,Canada,6196.73,9,Toronto
Kuala Lumpur,Malaysia,7996.83,10,Kuala Lumpur
Delhi [New Delhi],India,30290.94,11,Delhi
Mumbai,India,20411.27,11,Mumbai
Rome,Italy,4257.06,12,Rome
Milan,Italy,3140.18,12,Milan
Quezon City [Manila],Philippines,13923.45,13,Manila
Moscow,Russia,12537.95,14,Moscow
Madrid,Spain,6617.51,15,Madrid
London,United Kingdom,9304.02,16,London
Cairo,Egypt,20900.6,17,Cairo
Tehran,Iran,9134.71,18,Tehran
Kabul,Afghanistan,14850.07,19,Kabul
Baghdad,Iraq,7144.26,20,Baghdad
S‹o Paulo,Brazil,22043.03,21,S‹o Paulo
Rio de Janeiro,Brazil,13458.08,21,Rio de Janeiro
Karachi,Pakistan,16093.79,22,Karachi
Lahore,Pakistan,12642.42,22,Lahore
Lagos,Nigeria,14368.33,23,Lagos
Mexico City,Mexico,21782.38,24,Mexico City
Jakarta,Indonesia,10770.49,25,Jakarta
Riyadh,Saudia Arabia,7231.45,26,Riyadh
Buenos Aires,Argentina,15153.73,27,Buenos Aires
Santiago,Chile,6767.22,27,Santiago
Johannesburg,South Africa,5782.75,28,Johannesburg
Bogota,Colombia,12446.6,29,Bogota
Lima,Peru,10719.19,30,Lima
Dhaka,Bangladesh,21005.86,31,Dhaka
Istanbul,Turkey,15190.34,32,Istanbul
Kinshasa,Democratic Republic of the Congo,14342.44,32,Kinshasa
Abidjan,Côte d'Ivoire,5179.48,33,Abidjan
Addis Ababa,Ethiopia,4793.7,34,Addis Ababa
Nairobi,Kenya,4734.88,34,Nairobi
Dar es Salaam,United Republic of Tanzania,6701.65,35,Dar es Salaam
Luanda,Angola,8329.8,36,Luanda
Yangon,Myanmar,5331.8,37,Yangon
