City,Stringency_Jan,Stringency_Feb,Stringency_Mar,Workplaces_Jan,Workplaces_Feb,Workplaces_Mar,Residential_Jan,Residential_Feb,Residential_Mar,eFUA_ID,UC_num,UC_IDs,Commuting,Cntry_ISO,Cntry_name,FUA_area,UC_area,FUA_p_2015,UC_p_2015,Com_p_2015,med_pop,JanDec_negative,JanDec_neutral,JanDec_postitive,JanDec_negative_median,JanDec_neutral_median,JanDec_postitive_median,FebDec_negative,FebDec_neutral,FebDec_postitive,FebDec_negative_median,FebDec_neutral_median,FebDec_postitive_median,MarDec_negative,MarDec_neutral,MarDec_postitive,MarDec_negative_median,MarDec_neutral_median,MarDec_postitive_median,MarDec_neg_per,MarDec_neu_per,MarDec_pos_per
Abidjan,0,0,34.83870968,0,0.137931034,-5.935483871,0,0.172413793,6.096774194,2629,1,1675,1,CIV,CotedIvoire,1082,431,4649772.031,4551850.273,97921.75758,264.2175598,1756,4438,913,-6,0,4,1231,4241,1635,-6,0,4,722,4225,2160,-5,0,8,0.10,0.59,0.30
Addis Ababa,0.387096774,3,25.87096774,0,2,-9.612903226,0,-0.137931034,8.193548387,5821,1,5134,1,ETH,Ethiopia,810,392,3968807.408,3830787.819,138019.5884,117.5694656,1126,4159,760,-5,0,5,948,4182,915,-4,0,5,948,4131,966,-5,0,6,0.16,0.68,0.16
Baghdad,0,11.55172414,76.03225806,0,5.482758621,-24.61290323,0,0.172413793,11.03225806,2709,4,5314;5326;5345;5361,1,IRQ,Iraq,2252,879,6245609.021,5711492.865,534116.1561,162.4131317,10454,9600,8000,-7,0,5,3687,8416,15951,-5,0,9,2083,7189,18782,-6,0,12,0.07,0.26,0.67
Bangkok,0,0,35.77419355,0,0.655172414,-10.77419355,0,0.862068966,7.451612903,1894,3,10715;10765;10788,1,THA,Thailand,5161,2648,16290188.46,14954101.06,1336087.4,460.8708191,12887,19129,9564,-4,0,4,12376,16774,12430,-8,0,4,9587,15955,16038,-7,0,5,0.23,0.38,0.39
Beijing,21.61290323,76.65517241,79.51612903,0,0,0,0,0,0,7704,6,10675;10685;10687;10697;10738;10786,1,CHN,China,5536,2439,21279474.48,19184584.07,2094890.402,376.7884827,12643,22111,15880,-6,0,5,24222,21947,4465,-13,0,4,13023,22370,15241,-6,0,6,0.26,0.44,0.30
Bogota,2.838709677,8.827586207,43.61290323,0,6.24137931,-24.58064516,0,-0.586206897,15.87096774,4048,2,621;629,1,COL,Colombia,1863,575,9080732.021,8785167.533,295564.4884,231.2400894,2405,7525,2742,-11,0,12,2319,7422,2931,-11,0,12,2134,7054,3484,-11,0,13,0.17,0.56,0.27
Buenos Aires,3.193548387,11,51.70967742,0,4.275862069,-16.12903226,0,-0.379310345,9.548387097,4215,5,1101;1102;1103;1105;1109,1,ARG,Argentina,5376,2070,14984068.9,14229281.04,754787.8625,481.0973816,13305,27815,3376,-12,0,4,12485,28347,3664,-10,0,4,13742,28034,2720,-11,0,5,0.31,0.63,0.06
Cairo,0,0,28.74193548,0,3.275862069,-17.29032258,0,0.206896552,8.35483871,3981,17,3878;3901;3904;3902;3917;3921;3943;3947;3960;3964;3972;3974;3975;3981;3983;3989;3996,1,EGY,Egypt,4348,2090,23490198.36,22002654.47,1487543.895,212.3206177,18663,21937,8477,-6,0,4,15308,21688,12081,-6,0,4,22674,20702,5701,-9,0,4,0.46,0.42,0.12
Dar es Salaam,0,0,19.93548387,0,0.310344828,-5.258064516,0,0.379310345,3.741935484,3280,3,5199;5222;5241,1,TZA,Tanzania,1057,690,5644865.667,5455670.253,189195.4134,218.5355225,3329,7261,390,-8,0,4,1740,7450,1790,-3,0,4,867,7150,2963,-3,0,6,0.08,0.65,0.27
Delhi [New Delhi],2.129032258,10,54.74193548,0,0.206896552,-31.06451613,0,0.517241379,12.64516129,7466,8,6955;6964;6993;7003;7063;7080;7085;7108,1,IND,India,5569,2738,30076707.75,28038346.25,2038361.502,970.6150818,13513,30568,11987,-8,0,11,5255,26767,24046,-6,0,12,11578,29898,14592,-8,0,11,0.21,0.53,0.26
Dhaka,3.548387097,14,44.32258065,0,3.517241379,-9.677419355,0,0.413793103,7.258064516,3703,5,9871;9880;9872;9878;9885,1,BGD,Bangladesh,1377,615,3075402.547,2477290.801,598111.7459,1055.65625,4731,52713,1770,-5,0,2,3617,52353,3244,-4,0,3,2533,51499,5182,-4,0,4,0.04,0.87,0.09
Ho Chi Minh City,2.806451613,40.79310345,53.32258065,0,2.137931034,-1.193548387,0,3.034482759,9.580645161,5038,7,11778;11781;11784;11787;11800;11802;11830,1,VNM,Vietnam,3036,1648,12831945.08,12112286.23,719658.8518,460.819519,4608,12213,12571,-4,0,6,5991,11676,11725,-5,0,4,8620,11379,9393,-7,0,4,0.29,0.39,0.32
